stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version
RUS,365,1893,1150,32131,890,8196,121500,4907,0.1002619,4
RUS,365,1894,1333,35039,921,9807,122700,5244,0.1043381,4
RUS,365,1895,1455,36019,928,19693,123900,5604,0.1072184,4
RUS,365,1896,1624,36679,928,20385,125100,5989,0.1087826,4
RUS,365,1897,1883,39486,928,23095,126400,6401,0.107471,4
RUS,365,1898,2244,38697,928,25991,128400,6488,0.1027874,4
RUS,365,1899,2713,43240,938,29782,130300,6576,0.1075043,4
RUS,365,1900,2216,43104,1142,33930,132900,6666,0.1092385,4
RUS,365,1901,2228,44270,1142,35093,134800,6990,0.109645,4
RUS,365,1902,2184,46085,1160,34262,136600,7331,0.1099672,4
RUS,365,1903,2434,48301,1160,34714,139100,7689,0.1126421,4
RUS,365,1904,2766,50305,1160,37584,141600,8064,0.1132343,4
RUS,365,1905,2266,170006,2365,33355,143900,8457,0.1631429,4
RUS,365,1906,2496,90733,1236,37868,146400,8869,0.1243532,4
RUS,365,1907,2671,68797,1234,43050,149100,9301,0.1194754,4
RUS,365,1908,2698,58887,1381,44039,152500,9755,0.1208538,4
RUS,365,1909,2940,60029,1434,46030,157100,10230,0.1190268,4
RUS,365,1910,3314,62099,1380,45029,160700,10729,0.1184047,4
RUS,365,1911,3949,64291,1427,47486,163900,11253,0.1200979,4
RUS,365,1912,4503,73512,1434,50459,167900,11801,0.124146,4
RUS,365,1913,4918,85391,1286,48974,170900,12376,0.1161471,4
RUS,365,1914,4466,857000,1321,48412,175100,10479,0.1108134,4
RUS,365,1915,4120,4524000,5500,44769,178900,8943,0.1233457,4
RUS,365,1916,4276,4343000,10900,48692,181500,7548,0.1450898,4
RUS,365,1917,3080,4040000,9050,43283,184600,6471,0.117223,4
RUS,365,1918,402,258741,-9,18041,143450,4983,0.0374051,4
RUS,365,1919,199,1417699,1550,14673,142265,3566,0.0631666,4
RUS,365,1920,194,1183426,3050,13063,139675,4031,0.1032007,4
RUS,365,1921,220,1337524,5500,13925,136876,4556,0.1485141,4
RUS,365,1922,318,1646534,3600,17330,136508,5150,0.1443791,4
RUS,365,1923,615,885597,2100,19347,136102,5821,0.1047536,4
RUS,365,1924,993,835358,562,23377,137674,6579,0.0841078,4
RUS,365,1925,1868,1447885,562,24586,140619,7436,0.1016978,4
RUS,365,1926,2911,1724660,562,34921,143760,8405,0.1150356,4
RUS,365,1927,3592,2044459,562,43418,147135,9500,0.1187811,4
RUS,365,1928,4251,2372196,562,47018,150004,10737,0.1251388,4
RUS,365,1929,4854,2798721,562,51515,152774,12136,0.1337485,4
RUS,365,1930,5761,3519631,562,65088,154919,13716,0.149209,4
RUS,365,1931,5620,3509380,562,78568,156701,15503,0.1581092,4
RUS,365,1932,5927,2228018,562,83223,158094,17523,0.1525101,4
RUS,365,1933,6889,2363450,885,96142,158168,19806,0.1575746,4
RUS,365,1934,9693,3479651,940,117627,159156,22385,0.1645236,4
RUS,365,1935,12588,5517537,1300,134681,160049,25301,0.1795876,4
RUS,365,1936,16400,2933657,1300,154026,161272,28597,0.1481709,4
RUS,365,1937,17730,3446172,1433,159512,163388,32322,0.1478615,4
RUS,365,1938,18057,5429984,1566,169211,166859,36532,0.1643592,4
RUS,365,1939,17564,5984123,1789,181115,170315,35124,0.1381359,4
RUS,365,1940,18317,6145214,4200,201846,194077,33978,0.1373449,4
RUS,365,1941,15584,6884227,4207,147154,196659,32546,0.1243385,4
RUS,365,1942,15147,7324156,4932,139598,193800,31963,0.1129192,4
RUS,365,1943,14834,7978497,5112,132560,188100,30174,0.102841,4
RUS,365,1944,14236,8094563,6100,125749,182500,29862,0.0976179,4
RUS,365,1945,12252,8589076,12500,151257,177300,29189,0.1182072,4
RUS,365,1946,13346,8764724,2500,179782,174000,28110,0.1225411,4
RUS,365,1947,14534,11583011,2700,206587,173600,29346,0.1452174,4
RUS,365,1948,18639,13157894,2900,232947,178000,30636,0.1639996,4
RUS,365,1949,23291,13964622,3600,264543,175000,31982,0.1679179,4
RUS,365,1950,27329,15510433,4300,273968,180075,33388,0.1805985,4
RUS,365,1951,31350,20126000,5000,297152,183190,34855,0.1731629,4
RUS,365,1952,34492,21900448,5800,317908,186377,36387,0.1701986,4
RUS,365,1953,38128,25527632,5800,337873,189490,37987,0.1731209,4
RUS,365,1954,41434,28064976,5800,372065,192709,39656,0.1845277,4
RUS,365,1955,45272,29542096,5800,423077,196159,41400,0.1791656,4
RUS,365,1956,48698,26749408,5100,467891,199658,42711,0.1701965,4
RUS,365,1957,51176,27624304,4500,518622,203169,45119,0.1672666,4
RUS,365,1958,54920,30241936,3900,559868,206775,47102,0.1709534,4
RUS,365,1959,59971,34498608,3600,596500,210498,49172,0.1712012,4
RUS,365,1960,65294,36960032,3600,629705,214329,51252,0.17179,4
RUS,365,1961,70756,43662960,3000,660194,218145,53420,0.173759,4
RUS,365,1962,78307,49976192,3000,702972,221730,55680,0.1763372,4
RUS,365,1963,80231,47000000,3110,762749,225063,58035,0.17128,4
RUS,365,1964,85038,47000000,3110,816976,228149,60490,0.1674936,4
RUS,365,1965,91021,46000000,2780,872487,230936,63050,0.164547,4
RUS,365,1966,96907,48000000,3800,926754,233533,65717,0.1663164,4
RUS,365,1967,102224,52000000,3900,975330,235994,68496,0.1667414,4
RUS,365,1968,106537,62622000,4100,1011501,238316,71395,0.1699854,4
RUS,365,1969,110330,68053000,4200,1056380,240554,74480,0.1694391,4
RUS,365,1970,116000,77200000,4300,1410846,242767,75424,0.1729228,4
RUS,365,1971,121000,82700000,3900,1496355,245110,77675,0.1740189,4
RUS,365,1972,126000,88900000,4000,1578320,247501,80004,0.1723767,4
RUS,365,1973,131000,96410000,4000,1659956,249802,83806,0.1688813,4
RUS,365,1974,136000,109000000,4100,1725908,252131,85319,0.1690666,4
RUS,365,1975,141000,128000000,4100,1831153,254469,86831,0.1761488,4
RUS,365,1976,145000,138000000,4200,1915010,256760,94647,0.1776369,4
RUS,365,1977,147000,149000000,3900,1987519,259029,95626,0.1751403,4
RUS,365,1978,151000,163000000,3900,2075125,261253,97367,0.172273,4
RUS,365,1979,149000,180000000,3900,2122706,263404,98267,0.1688081,4
RUS,365,1980,148000,201000000,3900,2217132,265484,100807,0.1700272,4
RUS,365,1981,148000,221000000,3900,2210242,267622,102370,0.1708661,4
RUS,365,1982,147000,237000000,3900,2274819,269901,105020,0.1726654,4
RUS,365,1983,153000,250000000,3900,2329304,272368,107452,0.1732883,4
RUS,365,1984,154000,264000000,3900,2454867,274874,109611,0.164892,4
RUS,365,1985,155000,275000000,3900,2607772,277334,112227,0.170436,4
RUS,365,1986,161000,287600000,3900,2641083,280016,114802,0.1692345,4
RUS,365,1987,162000,303000000,3900,2783097,282830,117457,0.1676731,4
RUS,365,1988,163000,317900000,3900,2859812,285419,115503,0.165073,4
RUS,365,1989,160000,119440000,3700,2795509,287630,113549,0.1312931,4
RUS,365,1990,154000,128790000,3400,2653776,281344,111594,0.1238611,4
RUS,365,1991,73000,133700000,3000,2518253,148245,62371,0.097295,4
RUS,365,1992,62000,47220000,1900,1807684,148310,62371,0.0652206,4
RUS,365,1993,54000,29120000,1500,1690865,148146,67957,0.0560256,4
RUS,365,1994,48812,96693000,1400,1480145,147968,66648,0.0651541,4
RUS,365,1995,51589,82000000,1400,1439690,147774,66598,0.0610809,4
RUS,365,1996,49253,73990000,1300,1384603,147739,66982,0.0569312,4
RUS,365,1997,48502,64000000,1300,1366511,147105,67365,0.0539653,4
RUS,365,1998,43822,57107000,1000,1328259,147434,66800,0.0492318,4
RUS,365,1999,51510,56800000,900,1357860,147196,66234,0.0494669,4
RUS,365,2000,59136,52000000,1004,1403714,146934,66484,0.0495242,4
RUS,365,2001,58970,63684000,977,1423353,145976,66734,0.0514135,4
RUS,365,2002,59777,50800000,988,1416402,145306,66983,0.0475632,4
RUS,365,2003,61450,65200000,961,1467472,144566,67233,0.0472978,4
RUS,365,2004,65583,59600000,999,1481736,143821,67483,0.0454591,4
RUS,365,2005,66146,18768000,1037,1512436,143114,67733,0.0390802,4
RUS,365,2006,70830,24577000,1027,1571583,142487,67982,0.0393349,4
RUS,365,2007,72387,32215000,1027,1558502,142115,68232,0.0392739,4
